#@see,https://json.org/example.html,,,,,
#this is a comment,is,a,comment,,,
﻿round_id,context,cant_to_decode,ground_label,?
1,"披萨,三明治,云,鸭嘴兽","切搁,奥利奥,扁",奥利奥,1
2,"披萨,三明治,云,鸭嘴兽","切搁,奥利奥,扁",扁,3
0,"传说,点,头绳,蜡烛","cc,猴皮筋,烟",cc,0
1,"传说,点,头绳,蜡烛","cc,猴皮筋,烟",猴皮筋,2
2,"传说,点,头绳,蜡烛","cc,猴皮筋,烟",烟,3
0,"学生,鸟巢,门神,餐厅","北京欢迎你,八大菜系,6+3+3+4",北京欢迎你,1
1,"学生,鸟巢,门神,餐厅","北京欢迎你,八大菜系,6+3+3+4",八大菜系,3
2,"学生,鸟巢,门神,餐厅","北京欢迎你,八大菜系,6+3+3+4",6+3+3+4,0
0,"耳机,快,问号,巧克力","黑色,刘翔,黑人",黑色,3
1,"耳机,快,问号,巧克力","黑色,刘翔,黑人",刘翔,1
2,"耳机,快,问号,巧克力","黑色,刘翔,黑人",黑人,2
0,"学生,鸟巢,门神,餐厅","唐,飞,中",唐,2
1,"学生,鸟巢,门神,餐厅","唐,飞,中",飞,1
2,"学生,鸟巢,门神,餐厅","唐,飞,中",中,3
0,"耳机,快,问号,巧克力","标点,急,线",标点,2
1,"耳机,快,问号,巧克力","标点,急,线",急,1
2,"耳机,快,问号,巧克力","标点,急,线",线,0
0,"学生,鸟巢,门神,餐厅","早起的。。。。,两个人,图书馆",早起的。。。。,1
1,"学生,鸟巢,门神,餐厅","早起的。。。。,两个人,图书馆",两个人,2
2,"学生,鸟巢,门神,餐厅","早起的。。。。,两个人,图书馆",图书馆,0
0,"学生,鸟巢,门神,餐厅","西方,加油,画画",西方,3
1,"学生,鸟巢,门神,餐厅","西方,加油,画画",加油,1
2,"学生,鸟巢,门神,餐厅","西方,加油,画画",画画,2
0,"耳机,快,问号,巧克力","风,写,戴",风,1
1,"耳机,快,问号,巧克力","风,写,戴",写,2
2,"耳机,快,问号,巧克力","风,写,戴",戴,0
0,"学生,鸟巢,门神,餐厅","四大金刚,黄晓明,中国",四大金刚,2
1,"学生,鸟巢,门神,餐厅","四大金刚,黄晓明,中国",黄晓明,3
2,"学生,鸟巢,门神,餐厅","四大金刚,黄晓明,中国",中国,1
0,"耳机,快,问号,巧克力","你在开玩笑,偶像,工具",你在开玩笑,2
1,"耳机,快,问号,巧克力","你在开玩笑,偶像,工具",偶像,0
2,"耳机,快,问号,巧克力","你在开玩笑,偶像,工具",工具,1
0,"辽宁,嘴,短信,网易","文字,耳朵,红",文字,2
1,"辽宁,嘴,短信,网易","文字,耳朵,红",耳朵,3
2,"辽宁,嘴,短信,网易","文字,耳朵,红",红,1
0,"辽宁,嘴,短信,网易","情,船,亲",情,2
1,"辽宁,嘴,短信,网易","情,船,亲",船,0
2,"辽宁,嘴,短信,网易","情,船,亲",亲,1
0,"辽宁,嘴,短信,网易","天空,诈骗,kiko",天空,3
1,"辽宁,嘴,短信,网易","天空,诈骗,kiko",诈骗,2
0c26d8c3-a147-4325-4619-08dabe15faf2,11/04/2022 3:38,Install-DataClassificationConfig,"{
  ""reviewerID"": ""A2SUAM1J3GNN3B"",
  ""asin"": ""0000013714"",
  ""reviewerName"": ""J. McDonald"",
  ""helpful"": [2, 3],
  ""reviewText"": ""I bought this for my husband who plays the piano.  He is having a wonderful time playing these old hymns.  The music  is at times hard to read because we think the book was published for singing from more than playing from.  Great purchase though!"",
  ""overall"": 5.0,
  ""summary"": ""Heavenly Highway Hymns"",
  ""unixReviewTime"": 1252800000,
  ""reviewTime"": ""09 13, 2009""
}",3
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{
  ""asin"": ""B000050B6Z"",
  ""questionType"": ""yes/no"",
  ""answerType"": ""Y"",
  ""answerTime"": ""Aug 8, 2014"",
  ""unixTime"": 1407481200,
  ""question"": ""Can you use this unit with GEL shaving cans?"",
  ""answer"": ""Yes. If the can fits in the machine it will despense hot gel lather. I've been using my machine for both , gel and traditional lather for over 10 years.""
}",0
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{
    'user_id': '101463350189962023774', 
    'name': 'Jordan Adams', 
    'time': 1627750414677, 
    'rating': 5, 
    'text': 'Cool place, great people, awesome dentist!', 
    'pics': [
    {
      'url': ['https://lh5.googleusercontent.com/p/AF1QipNq2nZC5TH4_M7h5xRAd
      61hoTgvY1o9lozABguI=w150-h150-k-no-p']
    }
    ], 
    'resp': {
      'time': 1628455067818, 
      'text': 'Thank you for your five-star review! -Dr. Blake'
    }, 
    'gmap_id': '0x87ec2394c2cd9d2d:0xd1119cfbee0da6f3'
  }",0
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{
      'name': 'Walgreens Pharmacy', 
      'address': 'Walgreens Pharmacy, 124 E North St, Kendallville, IN 46755', 
      'gmap_id': '0x881614ce7c13acbb:0x5c7b18bbf6ec4f7e', 
      'description': 'Department of the Walgreens chain providing prescription medications & other health-related items.', 
      'latitude': 41.451859999999996, 
      'longitude': -85.2666757, 
      'category': ['Pharmacy'], 
      'avg_rating': 4.2, 
      'num_of_reviews': 5, 
      'price': '$$', 
      'hours': [['Thursday', '8AM–1:30PM'], ['Friday', '8AM–1:30PM'], ['Saturday', '9AM–1:30PM'], ['Sunday', '10AM–1:30PM'], ['Monday', '8AM–1:30PM'], ['Tuesday', '8AM–1:30PM'], ['Wednesday', '8AM–1:30PM']], 
      'MISC': {
        'Service options': ['Curbside pickup', 'Drive-through', 'In-store pickup', 'In-store shopping'], 
        'Health & safety': ['Mask required', 'Staff wear masks', 'Staff get temperature checks'], 
        'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 
        'Planning': ['Quick visit'], 
        'Payments': ['Checks', 'Debit cards']
      }, 
      'state': 'Closes soon ⋅ 1:30PM ⋅ Reopens 2PM', 
      'relative_results': ['0x881614cd49e4fa33:0x2d507c24ff4f1c74', '0x8816145bf5141c89:0x535c1d605109f94b', '0x881614cda24cc591:0xca426e3a9b826432', '0x88162894d98b91ef:0xd139b34de70d3e03', '0x881615400b5e57f9:0xc56d17dbe420a67f'], 
      'url': 'https://www.google.com/maps/place//data=!4m2!3m1!1s0x881614ce7c13acb
      b:0x5c7b18bbf6ec4f7e?authuser=-1&hl=en&gl=us'
    }",1
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{
  'rating': 3.0,
  'reviewerName': u'an lam',
  'reviewText': u'Ch\u1ea5t l\u01b0\u1ee3ng t\u1ea1m \u1ed5n',
  'categories': [u'Gi\u1ea3i Tr\xed - Caf\xe9'],
  'gPlusPlaceId': u'108103314380004200232',
  'unixReviewTime': 1372686659,
  'reviewTime': u'Jul 1, 2013',
  'gPlusUserId': u'100000010817154263736'
}",2
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{
  'name': u'Diamond Valley Lake Marina',
  'price': None,
  'address': [u'2615 Angler Ave', u'Hemet, CA 92545'],
  'hours': [[u'Monday', [[u'6:30 am--4:15 pm']]], [u'Tuesday', [[u'6:30 am--4:15 pm']]], [u'Wednesday', [[u'6:30 am--4:15 pm']], 1], [u'Thursday', [[u'6:30 am--4:15 pm']]], [u'Friday', [[u'6:30 am--4:15 pm']]], [u'Saturday', [[u'6:30 am--4:15 pm']]], [u'Sunday', [[u'6:30 am--4:15 pm']]]],
  'phone': u'(951) 926-7201',
  'closed': False,
  'gPlusPlaceId': '104699454385822125632',
  'gps': [33.703804, -117.003209]
}",0
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{
  'bundle_final_price': '$29.66',
  'bundle_url': 'http://store.steampowered.com/bundle/1482/?utm_source=SteamDB...',
  'bundle_price': '$32.96',
  'bundle_name': 'Two Tribes Complete Pack!',
  'bundle_id': '1482',
  'items': [{'genre': 'Casual, Indie', 'item_id': '38700', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/38700', 'item_name': 'Toki Tori'}, {'genre': 'Adventure, Casual, Indie', 'item_id': '201420', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/201420', 'item_name': 'Toki Tori 2+'}, {'genre': 'Strategy, Indie, Casual', 'item_id': '38720', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/38720', 'item_name': 'RUSH'}, {'genre': 'Action, Indie', 'item_id': '38740', 'discounted_price': '$7.99', 'item_url': 'http://store.steampowered.com/app/38740', 'item_name': 'EDGE'}],
  'bundle_discount': '10%'
}",1
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{
  ""user_id"": ""8842281e1d1347389f2ab93d60773d4d"",
  ""book_id"": ""130580"",
  ""review_id"": ""330f9c153c8d3347eb914c06b89c94da"",
  ""isRead"": true,
  ""rating"": 4,
  ""date_added"": ""Mon Aug 01 13:41:57 -0700 2011"",
  ""date_updated"": ""Mon Aug 01 13:42:41 -0700 2011"",
  ""read_at"": ""Fri Jan 01 00:00:00 -0800 1988"",
  ""started_at"": """"
}",2
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{
  'user_id': '01ec1a320ffded6b2dd47833f2c8e4fb',                                                               
  'timestamp': '2013-12-28',                                                                                   
  'review_sentences': [[0, 'First, be aware that this book is not for the faint of heart.'],                   
   [0, 'Human trafficking, drugs, kidnapping, abuse in all forms - this story contains all of this and more.'],
   ...,                                                                                                        
   [0, '(ARC provided by the author in return for an honest review.)']],                                       
  'rating': 5,                                                                                                 
  'has_spoiler': False,                                                                                        
  'book_id': '18398089',                                                                                       
  'review_id': '4b3ffeaf14310ac6854f140188e191cd'
}",2
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{
    ""product"": ""0027e30879ce3d87f82f699f148bff7e"", 
    ""scene"": ""cdab9160072dd1800038227960ff6467"", 
    ""bbox"": [
        0.434097, 
        0.859363, 
        0.560254, 
        1.0
    ]
}",3
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{
  ""fit"": ""fit"",
  ""user_id"": ""420272"",
  ""bust size"": ""34d"",
  ""item_id"": ""2260466"",
  ""weight"": ""137lbs"",
  ""rating"": ""10"",
  ""rented for"": ""vacation"",
  ""review_text"": ""An adorable romper! Belt and zipper were a little hard to navigate in a full day of wear/bathroom use, but that's to be expected. Wish it had pockets, but other than that-- absolutely perfect! I got a million compliments."",
  ""body type"": ""hourglass"",
  ""review_summary"": ""So many compliments!"",
  ""category"": ""romper"",
  ""height"": ""5' 8\"""",
  ""size"": 14,
  ""age"": ""28"",
  ""review_date"": ""April 20, 2016""
}",1
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{
  'lists':
  {
    'bought': ['466', '459', '457', '449'],
    'selling': [],
    'want': [],
    'sold': ['104', '103', '102']
  },
  'uid': '2'
}",3
0c26d8c3-a147-4325-4619-08dabe15faf2,11/04/2022 3:38,Install-DataClassificationConfig,"{
  'work': '3067',
  'flags': [],
  'unixtime': 1160265600,
  'stars': 4.5,
  'nhelpful': 0,
  'time': 'Oct 8, 2006',
  'comment': 'great storytelling in this novel about a couple crossed by a time travelling disorder ',
  'user': 'justine'
}",0
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{""CreationTime"":""2022-12-29T00:52:30"",""Id"":""10576a72-fd47-4730-a5f2-471e7c07a601"",""Operation"":""UserLoggedIn"",""OrganizationId"":""db5cf079-ba1f-4f72-8f35-5f662f74a607"",""RecordType"":15,""ResultStatus"":""Success"",""UserKey"":""371667f0-3adb-4653-aa96-2861ddae5051"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ClientIP"":""203.145.144.90"",""ObjectId"":""394866fc-eedb-4f01-8536-3ff84b16be2a"",""UserId"":""ap@acme.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""ResultStatusDetail"",""Value"":""Redirect""},{""Name"":""UserAgent"",""Value"":""Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/108.0.0.0 Safari\/537.36""},{""Name"":""RequestType"",""Value"":""OAuth2:Authorize""}],""ModifiedProperties"":[],""Actor"":[{""ID"":""371667f0-3adb-4653-aa96-2861ddae5051"",""Type"":0},{""ID"":""ap@vizdynamics.com"",""Type"":5}],""ActorContextId"":""db5cf079-ba1f-4f72-8f35-5f662f74a607"",""ActorIpAddress"":""203.145.144.90"",""InterSystemsId"":""4ce5842a-639f-448b-b101-aa549e23e1cc"",""IntraSystemId"":""10576a72-fd47-4730-a5f2-471e7c07a601"",""SupportTicketId"":"""",""Target"":[{""ID"":""394866fc-eedb-4f01-8536-3ff84b16be2a"",""Type"":0}],""TargetContextId"":""db5cf079-ba1f-4f72-8f35-5f662f74a607"",""ApplicationId"":""b23dd4db-9142-4734-867f-3577f640ad0c"",""DeviceProperties"":[{""Name"":""OS"",""Value"":""MacOs""},{""Name"":""BrowserType"",""Value"":""Chrome""},{""Name"":""IsCompliantAndManaged"",""Value"":""False""},{""Name"":""SessionId"",""Value"":""d9eb2e56-83f7-4029-b625-0fccc77d437e""}],""ErrorNumber"":""0""}",2
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"'{
    ""glossary"": {
        ""title"": ""example glossary"",
		""GlossDiv"": {
            ""title"": ""S"",
			""GlossList"": {
                ""GlossEntry"": {
                    ""ID"": ""SGML"",
					""SortAs"": ""SGML"",
					""GlossTerm"": ""Standard Generalized Markup Language"",
					""Acronym"": ""SGML"",
					""Abbrev"": ""ISO 8879:1986"",
					""GlossDef"": {
                        ""para"": ""A meta-markup language, used to create markup languages such as DocBook."",
						""GlossSeeAlso"": [""GML"", ""XML""]
                    },
					""GlossSee"": ""markup""
                }
            }
        }
    }
}",1
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"[""1"",""2"",""3"",4]",3
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{""AppAccessContext"":{""ClientAppId"":""944f0bd1-117b-4b1c-af26-804ed95e767e"",""ClientAppName"":""Media Analysis and ",3
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{""AppAccessContext"":{""AADSessionId"":""efdcba35-3801-4463-a995-f643654eb496"",""CorrelationId"":""d21b78a0-a078-1000-c1de-d56c4344b9ca"",""UniqueTokenId"":""jhs_ZfJEa0GGPHgWCUcdAA""},""CreationTime"":""2022-11-13T05:57:20"",""Id"":""0f911375-fdad-475f-ff5f-08dac53beda7"",""Operation"":""FileSyncUploadedFull"",""OrganizationId"":""db5cf079-ba1f-4f72-8f35-5f662f74a607"",""RecordType"":6,""UserKey"":""i:0h.f|membership|10030000a9b9c0ad@live.com"",""UserType"":0,""Version"":1,""Workload"":""SharePoint"",""ClientIP"":""1.145.174.172"",""ObjectId"":""https:\/\/vizdynamicsau.sharepoint.com\/sites\/VizDynamics-VicPoliceAPOnly\/Shared Documents\/Inner Range Logs\/Inception User Details Report - 20191201_000031.pdf"",""UserId"":""ap@vizdynamics.com"",""CorrelationId"":""d21b78a0-a078-1000-c1de-d56c4344b9ca"",""EventSource"":""SharePoint"",""ItemType"":""File"",""ListId"":""09abd378-c431-4d18-8ec1-65f82f99fa6e"",""ListItemUniqueId"":""266fa577-969d-4f21-8540-8e13b34a663f"",""Site"":""a73c8514-c152-48d3-86d3-7e5c730c21d5"",""",0
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"'{
    ""glossary"": {
        ""title"": ""example glossary"",
		""GlossDiv"": {
            ""title"": ""S"",
			""GlossList"": {
                ""GlossEntry"": {
                    ""ID"": ""SGML"",
					""SortAs"": ""SGML"",
					""GlossTerm"": ""Standard Generalized Markup Language"",
					""Acronym"": ""SGML"",",0
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"[""1"",""2"",",1
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{""menu"": {
  ""id"": ""file"",
  ""value"": ""File"",
  ""popup"": {
    ""menuitem"": [
      {""value"": ""New"", ""onclick"": ""CreateNewDoc()""},
      {""value"": ""Open"", ""onclick"": ""OpenDoc()""},
      {""value"": ""Close"", ""onclick"": ""CloseDoc()""}
    ]
  }
}}",2
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"<menu id=""file"" value=""File"">
  <popup>
    <menuitem value=""New"" onclick=""CreateNewDoc()"" />
    <menuitem value=""Open"" onclick=""OpenDoc()"" />
    <menuitem value=""Close"" onclick=""CloseDoc()"" />
  </popup>
</menu>",0
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"{""widget"": {
    ""debug"": ""on"",
    ""window"": {
        ""title"": ""Sample Konfabulator Widget"",
        ""name"": ""main_window"",
        ""width"": 500,
        ""height"": 500
    },
    ""image"": {
        ""src"": ""Images/Sun.png"",
        ""name"": ""sun1"",
        ""hOffset"": 250,
        ""vOffset"": 250,
        ""alignment"": ""center""
    },
    ""text"": {
        ""data"": ""Click Here"",
        ""size"": 36,
        ""style"": ""bold"",
        ""name"": ""text1"",
        ""hOffset"": 250,
        ""vOffset"": 100,
        ""alignment"": ""center"",
        ""onMouseUp"": ""sun1.opacity = (sun1.opacity / 100) * 90;""
    }
}}
",1
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"<?xml version=""1.0"" encoding=""UTF-8""?>
<!DOCTYPE bookstore [
<!ELEMENT bookstore (book+)>
<!ELEMENT book (title, author+, category*, language?, year?, edition?, price)>
<!ATTLIST book ISBN CDATA #REQUIRED>
<!ELEMENT title    (#PCDATA)>
<!ELEMENT author   (#PCDATA)>
<!ELEMENT category (#PCDATA)>
<!ELEMENT language (#PCDATA)>
<!ELEMENT year     (#PCDATA)>
<!ELEMENT edition  (#PCDATA)>
<!ELEMENT price    (#PCDATA)>
]>
<bookstore>
<book ISBN=""0123456001"">
<title>Java For Dummies</title>
<author>Tan Ah Teck</author>
<category>Programming</category>
<year>2009</year>
<edition>7</edition>
<price>19.99</price>
</book>
<book ISBN=""0123456002"">
<title>More Java For Dummies</title>
<author>Tan Ah Teck</author>
<category>Programming</category>
<year>2008</year>
<price>25.99</price>
</book>
<book ISBN=""0123456010"">
<title>The Complete Guide to Fishing</title>
<author>Bill Jones</author>
<author>James Cook</author>
<author>Mary Turing</author>
<category>Fishing</category>
<category>Leisure</category>
<language>French</language>
<year>2000</year>
<edition>2</edition>
<price>49.99</price>
</book>
</bookstore>",2
0c26d8c3-a147-4325-4619-08dabe15faf2,11/04/2022 3:38,Install-DataClassificationConfig,"<?xml version=""1.0"" encoding=""UTF-8""?>
<DOCUMENT TYPE=""RPWIP"" VERSION=""10.3"">
<DOCSET NAME="" form"">
<MOXFILE NAME=""air567""/>
<GROUP NAME="""" NAMEX=""Hello"" NAME2=""VERSION 103"">
<FORM NAME=""Copyright - Basic"" OPTIONS=""R"">
<DESCRIPTION>Copyright - Basic Description Part</DESCRIPTION>
<FIELD NAME=""First"">8:20 PM</FIELD>
<FIELD NAME=""Last"">6:30PM</FIELD>
<RECIPIENT NAME=""Cust"" COPYCOUNT=""2"" CODE="""" SEQUENCE=""2""/>
<RECIPIENT NAME=""Head"" COPYCOUNT=""2"" CODE=""""
SEQUENCE=""3""/>
<RECIPIENT NAME=""Democractic"" COPYCOUNT=""2"" CODE="""" SEQUENCE=""4""/>
:
</FORM>
</GROUP>
</DOCSET>
</DOCUMENT>",2
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"<?xml version=""1.0""?>
<customers>
   <customer id=""55000"">
      <name>Charter Group</name>
      <address>
         <street>100 Main</street>
         <city>Framingham</city>
         <state>MA</state>
         <zip>01701</zip>
      </address>
      <address>
         <street>720 Prospect</street>
         <city>Framingham</city>
         <state>MA</state>
         <zip>01701</zip>
      </address>
      <address>
         <street>120 Ridge</street>
         <state>MA</state>
         <zip>01760</zip>
      </address>
   </customer>
</customers>",3
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"<students>
 <student>
   <name>Rick Grimes</name>
   <age>35</age>
   <subject>Maths</subject>
   <gender>Male</gender>
 </student>
 <student>
   <name>Daryl Dixon </name>
   <age>33</age>
   <subject>Science</subject>
   <gender>Male</gender>
 </student>
 <student>
   <name>Maggie</name>
   <age>36</age>
   <subject>Arts</subject>
   <gender>Female</gender>
 </student>
</students>",1
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"<?xml version=""1.0"" encoding=""UTF-8""?>
<book>
 <name>A Song of Ice and Fire</name>
 <author>George R. R. Martin</author>
 <language>English</language>
 <genre>Epic fantasy</genre>
</book>",3
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"<?xml version = ""1.0"" encoding = ""utf-8""?>

<!-- planes.xml - A document that lists ads for
                  used airplanes -->

<!DOCTYPE planes_for_sale SYSTEM ""planes.dtd"">
<planes_for_sale>
   <ad>
      <year> 1977 </year>
      <make> &c; </make>
      <model> Skyhawk </model>
      <color> Light blue and white </color>
      <description> New paint, nearly new interior,
            685 hours SMOH, full IFR King avionics </description>
      <price> 23,495 </price>
      <seller phone = ""555-222-3333""> Skyway Aircraft </seller>
      <location>
         <city> Rapid City, </city>
         <state> South Dakota </state>
      </location>
   </ad>
   <ad>
      <year> 1965 </year>
      <make> &p; </make>
      <model> Cherokee </model>
      <color> Gold </color>
      <description> 240 hours SMOH, dual NAVCOMs, DME,
                new Cleveland brakes, great shape </description>
      <seller phone = ""555-333-2222""
              email = ""jseller@www.axl.com"">
              John Seller </seller>
      <location>
         <city> St. Joseph, </city>
         <state> Missouri </state>
      </location>
   </ad>
</planes_for_sale>",0
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"<?xml version = ""1.0"" encoding = ""utf-8""?>

<!-- planes.xsd.xml
     A simple XML document for illustrating a schema
     The schema is in planes.xsd
     -->
<planes
  xmlns = ""http://cs.uccs.edu/planeSchema""
  xmlns:xsi = ""http://www.w3.org/2001/XMLSchema-instance""
  xsi:schemaLocation = ""http://cs.uccs.edu/planeSchema/planes.xsd"">
    <make> Cessna </make>
    <make> Piper </make>
    <make> Beechcraft </make>
</planes>",2
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"<?xml version = ""1.0"" encoding = ""utf-8""?>
<!-- xslplane.1.xml -->
<?xml-stylesheet type = ""text/xsl""  href = ""xslplane.1.xsl"" ?>
<plane>
   <year> 1977 </year>
   <make> Cessna </make>
   <model> Skyhawk </model>
   <color> Light blue and white </color>
</plane>",1
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"<?xml version = ""1.0"" encoding = ""utf-8""?>
<!-- xslplanes.2.xml -->
<?xml-stylesheet type = ""text/xsl"" href = ""xslplanes.2.xsl"" ?>
<planes>
   <plane>
      <year> 1977 </year>
      <make> Cessna </make>
      <model> Skyhawk </model>
      <color> Light blue and white </color>
   </plane>
   <plane>
      <year> 1975 </year>
      <make> Piper </make>
      <model> Apache </model>
      <color> White </color>
   </plane>
   <plane>
      <year> 1960 </year>
      <make> Cessna </make>
      <model> Centurian </model>
      <color> Yellow and white </color>
   </plane>
   <plane>
      <year> 1956 </year>
      <make> Piper </make>
      <model> Tripacer </model>
      <color> Blue </color>
   </plane>
</planes>",3
0bae8663-b463-4e98-dd26-08dabf4416f9,11/05/2022 15:40,Set-OwaMailboxPolicy,"<?xml version=""1.0""?>
<Recipe>
   <Name>Lime Jello Marshmallow Cottage Cheese Surprise</Name>
   <Description>
     My grandma's favorite (may she rest in peace).
   </Description>
   <Ingredients>
      <Ingredient>
         <Qty unit=""box"">1</Qty>
         <Item>lime gelatin</Item>
      </Ingredient>
      <Ingredient>
         <Qty unit=""g"">500</Qty>
         <Item>multicolored tiny marshmallows</Item>
      </Ingredient>
      <Ingredient>
         <Qty unit=""ml"">500</Qty>
         <Item>Cottage cheese</Item>
      </Ingredient>
      <Ingredient>
         <Qty unit=""dash""/>
         <Item optional=""1"">Tabasco sauce</Item>
      </Ingredient>
   </Ingredients>
   <Instructions>
      <Step>
Prepare lime gelatin according to package instructions
      </Step>
      <!-- And so on... -->
   </Instructions>
</Recipe>",3
